timestamp,latency_ms,packet_loss,congestion_level,active_users,traffic_type
2026-02-07T19:13:10.739271,141,2.41,5,243,RURAL
2026-02-07T19:13:11.740502,36,2.65,5,153,HEALTHCARE
2026-02-07T19:13:12.741541,146,4.25,2,433,NORMAL
2026-02-07T19:13:13.742367,145,2.39,10,179,EMERGENCY
2026-02-07T19:13:14.743428,183,4.95,4,403,NORMAL
2026-02-07T19:13:15.744571,260,2.03,10,74,HEALTHCARE
2026-02-07T19:13:16.745570,86,1.32,10,115,RURAL
2026-02-07T19:13:17.746263,118,0.52,1,427,HEALTHCARE
2026-02-07T19:13:18.747008,131,2.71,5,309,NORMAL
2026-02-07T19:13:19.747760,123,2.25,6,434,NORMAL
2026-02-07T19:13:20.748562,151,4.09,3,495,NORMAL
2026-02-07T19:13:21.749515,181,4.59,2,215,NORMAL
2026-02-07T19:13:22.750432,69,4.84,5,144,NORMAL
2026-02-07T19:13:23.751552,80,1.04,8,452,NORMAL
2026-02-07T19:13:24.752507,62,2.29,3,175,NORMAL
2026-02-07T19:13:25.753247,63,4.26,6,189,NORMAL
2026-02-07T19:13:26.754235,214,2.54,8,112,RURAL
2026-02-07T19:13:27.755080,109,1.34,3,485,RURAL
2026-02-07T19:13:28.755916,207,4.08,4,491,RURAL
2026-02-07T19:13:29.756919,43,4.38,6,288,NORMAL
2026-02-07T19:13:30.757837,189,1.02,9,498,HEALTHCARE
2026-02-07T19:13:31.758942,10,1.23,1,386,RURAL
2026-02-07T19:13:32.760203,288,0.82,10,478,NORMAL
2026-02-07T19:13:33.761066,171,1.67,1,69,RURAL
2026-02-07T19:13:34.761711,277,1.51,1,428,NORMAL
2026-02-07T19:13:35.762394,214,2.41,10,412,NORMAL
2026-02-07T19:13:36.763257,94,2.36,10,280,RURAL
2026-02-07T19:13:37.764295,215,0.45,6,326,NORMAL
2026-02-07T19:13:38.764711,286,0.02,9,465,RURAL
2026-02-07T19:13:39.765125,125,4.51,1,80,NORMAL
2026-02-07T19:13:40.765989,218,2.79,3,60,NORMAL
2026-02-07T19:13:41.767075,260,0.73,7,269,EMERGENCY
2026-02-07T19:13:42.768071,43,0.59,4,251,NORMAL
2026-02-07T19:13:43.769248,30,4.48,9,375,NORMAL
2026-02-07T19:13:44.770424,234,1.11,5,379,NORMAL
2026-02-07T19:13:45.771609,60,4.7,1,268,NORMAL
2026-02-07T19:13:46.772626,26,3.09,4,120,NORMAL
2026-02-07T19:13:47.773768,14,0.13,2,61,NORMAL
2026-02-07T19:13:48.774902,95,3.47,9,139,NORMAL
2026-02-07T19:13:49.775942,47,4.26,2,347,RURAL
2026-02-07T19:13:50.777305,288,0.73,1,73,NORMAL
2026-02-07T19:13:51.778493,145,2.31,5,278,RURAL
2026-02-07T19:13:52.779071,142,1.79,5,216,RURAL
2026-02-07T19:13:53.779806,192,1.21,7,342,NORMAL
2026-02-07T19:13:54.780944,51,3.0,9,310,HEALTHCARE
2026-02-07T19:13:55.781551,255,4.22,3,255,NORMAL
2026-02-07T19:13:56.782572,213,0.36,6,284,NORMAL
2026-02-07T19:13:57.783118,162,3.95,1,87,RURAL
2026-02-07T19:13:58.783980,92,3.62,7,304,EMERGENCY
2026-02-07T19:13:59.784652,83,2.46,10,457,RURAL
