latency,packet_loss,congestion,active_users,traffic_type,decision
137,0.69,7,17,NORMAL,LOW
58,0.94,9,480,NORMAL,HIGH
46,2.45,3,11,RURAL,MEDIUM
132,3.1,6,116,EMERGENCY,HIGH
56,0.03,5,37,RURAL,MEDIUM
139,4.54,3,248,NORMAL,LOW
42,1.11,7,457,EMERGENCY,HIGH
85,2.04,7,53,NORMAL,LOW
84,4.89,1,193,NORMAL,LOW
38,3.77,8,137,NORMAL,HIGH
71,0.37,8,298,EMERGENCY,HIGH
139,1.98,5,270,NORMAL,LOW
150,0.73,8,252,EMERGENCY,HIGH
61,2.53,4,41,NORMAL,LOW
26,0.03,8,469,EMERGENCY,HIGH
34,3.93,3,69,NORMAL,LOW
31,0.22,10,390,EMERGENCY,HIGH
98,4.4,2,287,RURAL,MEDIUM
109,4.18,9,412,RURAL,HIGH
26,1.6,2,392,NORMAL,LOW
120,4.94,5,303,NORMAL,LOW
31,1.45,5,183,NORMAL,LOW
67,1.79,8,32,RURAL,HIGH
82,1.74,1,453,NORMAL,LOW
72,1.87,8,319,EMERGENCY,HIGH
137,2.22,5,309,EMERGENCY,HIGH
78,1.77,8,269,NORMAL,HIGH
43,0.14,5,42,EMERGENCY,HIGH
114,2.02,7,246,NORMAL,LOW
60,0.84,7,51,EMERGENCY,HIGH
37,3.63,5,385,EMERGENCY,HIGH
115,4.35,9,140,EMERGENCY,HIGH
46,4.47,7,187,EMERGENCY,HIGH
64,0.85,6,498,EMERGENCY,HIGH
147,2.54,9,68,NORMAL,HIGH
108,1.44,4,29,NORMAL,LOW
20,4.94,9,428,NORMAL,HIGH
37,4.59,4,453,RURAL,MEDIUM
123,1.26,3,372,NORMAL,LOW
59,1.83,5,203,EMERGENCY,HIGH
122,0.73,6,62,EMERGENCY,HIGH
41,1.28,5,173,EMERGENCY,HIGH
73,2.62,9,160,EMERGENCY,HIGH
74,2.68,7,190,NORMAL,LOW
52,0.22,8,284,RURAL,HIGH
143,0.57,9,136,NORMAL,HIGH
36,3.16,8,459,EMERGENCY,HIGH
79,4.45,9,401,EMERGENCY,HIGH
128,3.37,5,425,RURAL,MEDIUM
111,3.61,5,49,EMERGENCY,HIGH
149,4.81,10,283,EMERGENCY,HIGH
63,2.64,6,394,NORMAL,LOW
113,4.42,4,267,RURAL,MEDIUM
43,2.86,2,314,RURAL,MEDIUM
92,3.88,5,174,EMERGENCY,HIGH
140,0.2,10,472,NORMAL,HIGH
146,4.24,10,272,NORMAL,HIGH
74,2.53,9,24,NORMAL,HIGH
129,0.82,9,195,RURAL,HIGH
118,3.93,2,175,RURAL,MEDIUM
100,2.7,6,17,EMERGENCY,HIGH
81,1.8,9,168,EMERGENCY,HIGH
142,4.03,2,13,EMERGENCY,HIGH
144,3.29,10,264,EMERGENCY,HIGH
46,1.27,8,288,NORMAL,HIGH
120,3.15,8,26,RURAL,HIGH
127,2.21,10,347,EMERGENCY,HIGH
112,4.89,4,212,RURAL,MEDIUM
119,1.8,8,194,RURAL,HIGH
148,2.54,1,439,RURAL,MEDIUM
141,0.8,8,186,RURAL,HIGH
143,3.3,5,272,EMERGENCY,HIGH
111,2.17,3,403,EMERGENCY,HIGH
103,3.73,6,26,EMERGENCY,HIGH
27,4.05,3,228,EMERGENCY,HIGH
36,4.88,5,264,NORMAL,LOW
80,4.62,10,363,EMERGENCY,HIGH
62,4.36,5,217,NORMAL,LOW
132,4.53,8,181,RURAL,HIGH
23,4.57,7,88,EMERGENCY,HIGH
133,3.3,8,336,NORMAL,HIGH
136,3.1,6,215,EMERGENCY,HIGH
20,1.62,1,92,RURAL,MEDIUM
104,1.26,1,91,NORMAL,LOW
36,3.06,8,142,RURAL,HIGH
73,3.23,5,396,EMERGENCY,HIGH
134,1.46,2,368,EMERGENCY,HIGH
75,4.46,3,65,EMERGENCY,HIGH
116,0.47,1,251,EMERGENCY,HIGH
144,0.66,1,240,RURAL,MEDIUM
123,1.08,1,270,NORMAL,LOW
56,2.04,8,142,NORMAL,HIGH
60,3.56,3,477,EMERGENCY,HIGH
69,3.21,2,193,RURAL,MEDIUM
61,0.89,3,264,NORMAL,LOW
92,4.24,8,394,EMERGENCY,HIGH
23,3.6,4,234,NORMAL,LOW
42,1.62,3,409,RURAL,MEDIUM
70,2.32,1,36,NORMAL,LOW
45,2.03,6,56,EMERGENCY,HIGH
86,4.52,4,120,EMERGENCY,HIGH
128,1.67,8,122,NORMAL,HIGH
35,1.14,7,458,NORMAL,LOW
119,1.45,4,485,EMERGENCY,HIGH
107,1.89,1,229,NORMAL,LOW
103,1.52,8,186,NORMAL,HIGH
71,1.72,3,383,EMERGENCY,HIGH
69,1.24,10,403,NORMAL,HIGH
80,0.86,1,319,EMERGENCY,HIGH
125,1.3,2,457,RURAL,MEDIUM
116,1.08,10,447,NORMAL,HIGH
39,0.07,9,65,RURAL,HIGH
141,3.78,9,403,NORMAL,HIGH
144,0.43,4,145,NORMAL,LOW
149,3.12,10,120,EMERGENCY,HIGH
88,4.05,6,316,RURAL,MEDIUM
129,4.63,1,103,NORMAL,LOW
113,4.35,5,388,EMERGENCY,HIGH
84,4.62,5,355,EMERGENCY,HIGH
104,3.61,8,420,RURAL,HIGH
108,0.46,7,217,RURAL,MEDIUM
144,2.11,8,190,EMERGENCY,HIGH
54,1.69,10,337,EMERGENCY,HIGH
69,0.78,1,195,NORMAL,LOW
26,1.45,10,251,NORMAL,HIGH
92,4.53,5,234,EMERGENCY,HIGH
146,1.49,7,125,RURAL,MEDIUM
109,3.91,2,237,EMERGENCY,HIGH
112,2.63,3,120,RURAL,MEDIUM
44,1.67,1,495,NORMAL,LOW
135,0.5,9,154,EMERGENCY,HIGH
50,3.25,7,459,EMERGENCY,HIGH
82,3.53,3,63,RURAL,MEDIUM
45,3.21,3,67,EMERGENCY,HIGH
79,0.27,6,353,RURAL,MEDIUM
57,4.3,7,183,RURAL,MEDIUM
34,3.63,9,465,NORMAL,HIGH
62,2.45,10,276,RURAL,HIGH
68,3.72,6,319,NORMAL,LOW
61,0.01,4,66,RURAL,MEDIUM
105,4.93,8,322,RURAL,HIGH
42,0.24,10,149,EMERGENCY,HIGH
58,2.6,10,89,RURAL,HIGH
130,3.07,4,146,EMERGENCY,HIGH
139,4.97,7,380,NORMAL,LOW
144,4.61,8,70,NORMAL,HIGH
116,4.32,2,400,RURAL,MEDIUM
109,2.81,2,163,RURAL,MEDIUM
84,4.16,7,69,EMERGENCY,HIGH
131,1.98,10,121,EMERGENCY,HIGH
29,1.29,3,49,RURAL,MEDIUM
122,3.46,4,28,NORMAL,LOW
142,0.19,6,275,NORMAL,LOW
79,1.91,5,485,EMERGENCY,HIGH
132,3.27,7,397,RURAL,MEDIUM
27,2.84,6,58,RURAL,MEDIUM
33,3.23,6,211,NORMAL,LOW
140,3.46,5,150,EMERGENCY,HIGH
139,1.97,7,34,EMERGENCY,HIGH
32,3.02,8,106,EMERGENCY,HIGH
41,4.8,10,450,NORMAL,HIGH
62,1.79,8,95,NORMAL,HIGH
55,4.97,10,487,RURAL,HIGH
31,2.93,4,150,RURAL,MEDIUM
97,4.25,10,456,EMERGENCY,HIGH
65,3.1,1,113,RURAL,MEDIUM
108,0.78,7,237,EMERGENCY,HIGH
88,1.61,6,485,EMERGENCY,HIGH
61,0.56,7,353,EMERGENCY,HIGH
70,3.61,4,118,RURAL,MEDIUM
38,4.32,2,376,EMERGENCY,HIGH
35,1.92,10,477,RURAL,HIGH
142,2.39,3,439,NORMAL,LOW
115,1.33,7,285,NORMAL,LOW
83,4.96,5,195,NORMAL,LOW
56,1.66,5,55,EMERGENCY,HIGH
84,4.33,10,150,EMERGENCY,HIGH
138,2.01,2,85,RURAL,MEDIUM
68,1.83,4,13,EMERGENCY,HIGH
96,3.49,10,254,NORMAL,HIGH
56,2.69,10,372,RURAL,HIGH
41,1.81,5,137,RURAL,MEDIUM
72,3.21,10,260,RURAL,HIGH
142,2.92,6,379,EMERGENCY,HIGH
144,3.03,9,484,RURAL,HIGH
118,0.29,10,82,RURAL,HIGH
100,2.41,5,339,NORMAL,LOW
120,2.37,2,419,RURAL,MEDIUM
75,4.13,8,232,EMERGENCY,HIGH
76,3.91,6,395,RURAL,MEDIUM
68,4.42,5,262,EMERGENCY,HIGH
115,1.57,1,150,RURAL,MEDIUM
58,3.48,9,31,NORMAL,HIGH
48,0.03,5,225,EMERGENCY,HIGH
30,3.22,2,417,NORMAL,LOW
79,4.98,7,465,NORMAL,LOW
42,3.25,9,64,RURAL,HIGH
102,2.75,6,88,EMERGENCY,HIGH
